h;V;C;L*;a*;b*;R;G;B
7.5R;4;14;41.22;56.69;40.98;0.7382;0.1324;0.1287
10R;4;2;41.22;8.73;6.94;0.4559;0.3595;0.3377
10R;4;4;41.22;16.88;14.37;0.517;0.3362;0.2916
10R;4;6;41.22;24.09;21.63;0.5653;0.3127;0.2465
10R;4;8;41.22;31.44;29.44;0.6106;0.2852;0.197
10R;4;10;41.22;38.46;37.58;0.6508;0.2542;0.1431
10R;4;12;41.22;44.81;46.94;0.6857;0.2204;0.0697
2.5YR;4;2;41.22;7.88;8.75;0.4546;0.3612;0.3261
2.5YR;4;4;41.22;15.03;17.55;0.5117;0.3407;0.2709
2.5YR;4;6;41.22;21.22;26.24;0.5559;0.3209;0.2154
2.5YR;4;8;41.22;27.3;35.81;0.5953;0.2993;0.1509
2.5YR;4;10;41.22;32.48;46.6;0.627;0.2787;0.0607
5YR;4;2;41.22;6.62;10.43;0.4507;0.3638;0.3152
5YR;4;4;41.22;12.65;20.8;0.5032;0.3465;0.2493
5YR;4;6;41.22;17.61;30.69;0.5417;0.331;0.1841
5YR;4;8;41.22;22.22;41.11;0.5737;0.3156;0.1064
7.5YR;4;2;41.22;5.36;11.66;0.4458;0.3664;0.3069
7.5YR;4;4;41.22;10.09;23.54;0.4929;0.3526;0.2304
7.5YR;4;6;41.22;13.91;34.36;0.5259;0.3409;0.1562
7.5YR;4;8;41.22;17.12;45.94;0.5509;0.3306;0.0533
10YR;4;2;41.22;3.26;13.24;0.4364;0.3709;0.2965
10YR;4;4;41.22;6.62;25.99;0.477;0.3607;0.2133
10YR;4;6;41.22;9.38;37.76;0.5049;0.3523;0.1279
2.5Y;4;2;41.22;1.2;14.12;0.4254;0.3753;0.2904
2.5Y;4;4;41.22;2.92;27.74;0.4584;0.3691;0.2001
2.5Y;4;6;41.22;4.48;40.37;0.4806;0.364;0.1027
5Y;4;2;41.22;-0.82;14.53;0.4135;0.3796;0.2875
5Y;4;4;41.22;-0.68;28.97;0.439;0.3769;0.1907
5Y;4;6;41.22;-0.12;42.37;0.4566;0.3742;0.081
7.5Y;4;2;41.22;-2.52;14.5;0.4027;0.3831;0.2874
7.5Y;4;4;41.22;-4.03;29.4;0.4194;0.384;0.1867
7.5Y;4;6;41.22;-4.75;43.24;0.4308;0.3839;0.0679
10Y;4;2;41.22;-5.05;13.49;0.3836;0.3886;0.2934
10Y;4;4;41.22;-7.25;28.83;0.399;0.3904;0.1898
10Y;4;6;41.22;-9.2;43.02;0.4042;0.3927;0.0673
2.5GY;4;2;41.22;-5.78;12.51;0.3764;0.3902;0.2997
2.5GY;4;4;41.22;-10.79;26.94;0.3731;0.3974;0.2023
2.5GY;4;6;41.22;-14.52;40.5;0.3685;0.4026;0.092
5GY;4;2;41.22;-6.81;11.34;0.366;0.3925;0.3071
5GY;4;4;41.22;-13.66;24.15;0.3484;0.403;0.2211
5GY;4;6;41.22;-19.36;36.51;0.33;0.4113;0.1266
7.5GY;4;2;41.22;-8.37;8.83;0.3483;0.3959;0.3231
7.5GY;4;4;41.22;-17.16;19.19;0.3112;0.4098;0.2538
7.5GY;4;6;41.22;-25.27;29.73;0.2714;0.4214;0.1786
7.5GY;4;8;41.22;-33.1;41.11;0.2257;0.4315;0.0757
10GY;4;2;41.22;-9.05;7.18;0.3378;0.3976;0.3336
10GY;4;4;41.22;-18.87;15.08;0.2849;0.4133;0.2808
10GY;4;6;41.22;-28.89;23.42;0.2199;0.4274;0.2231
10GY;4;8;41.22;-38.36;31.48;0.1324;0.4393;0.1622
2.5G;4;2;41.22;-9.73;4.86;0.3247;0.3994;0.3483
2.5G;4;4;41.22;-20.35;9.85;0.252;0.4167;0.3147
2.5G;4;6;41.22;-31.62;14.85;0.1419;0.4327;0.2806
5G;4;2;41.22;-9.95;3.45;0.318;0.4001;0.3573
5G;4;4;41.22;-20.93;6.91;0.2326;0.4182;0.3337
5G;4;6;41.22;-31.89;9.94;0.0926;0.4339;0.3128
7.5G;4;2;41.22;-9.95;2.26;0.3135;0.4004;0.3649
7.5G;4;4;41.22;-21.02;4.5;0.2191;0.4189;0.3493
7.5G;4;6;41.22;-31.99;6.22;0.0213;0.4348;0.337
10G;4;2;41.22;-9.95;1.13;0.3088;0.4007;0.3722
10G;4;4;41.22;-20.85;2.07;0.206;0.4192;0.3649
2.5BG;4;2;41.22;-9.73;-0.27;0.3052;0.4006;0.3811
2.5BG;4;4;41.22;-20.43;-0.73;0.1931;0.4191;0.383
5BG;4;2;41.22;-9.35;-1.77;0.3018;0.4003;0.3908
5BG;4;4;41.22;-19.28;-3.92;0.1837;0.4181;0.4035
7.5BG;4;2;41.22;-8.82;-3.19;0.2997;0.3998;0.3999
7.5BG;4;4;41.22;-17.89;-6.66;0.1804;0.4166;0.4212
10BG;4;2;41.22;-8.07;-4.5;0.3003;0.3987;0.4083
10BG;4;4;41.22;-16.19;-9.44;0.1801;0.4146;0.4391
2.5B;4;2;41.22;-7.1;-5.63;0.3037;0.3971;0.4157
2.5B;4;4;41.22;-14.05;-11.88;0.1888;0.4116;0.455
5B;4;2;41.22;-6;-6.58;0.3088;0.3953;0.4218
5B;4;4;41.22;-11.48;-13.73;0.2075;0.4077;0.4671
7.5B;4;2;41.22;-4.46;-7.39;0.3179;0.3926;0.4272
7.5B;4;4;41.22;-8.37;-15.22;0.2334;0.4026;0.4769
7.5B;4;6;41.22;-11.33;-22.71;0.0953;0.4105;0.5248
10B;4;2;41.22;-2.88;-7.97;0.3287;0.3895;0.4311
10B;4;4;41.22;-5.34;-16.13;0.2605;0.3971;0.483
10B;4;6;41.22;-7.25;-23.82;0.1653;0.4035;0.5323
2.5PB;4;2;41.22;-1.03;-8.44;0.3413;0.3859;0.4342
2.5PB;4;4;41.22;-1.88;-16.83;0.2911;0.3904;0.4877
2.5PB;4;6;41.22;-2.16;-24.82;0.228;0.3941;0.5392
2.5PB;4;8;41.22;-2.31;-33.27;0.1117;0.398;0.594
5PB;4;2;41.22;0.93;-8.86;0.355;0.3819;0.4371
5PB;4;4;41.22;1.76;-17.09;0.3227;0.3829;0.4897
5PB;4;6;41.22;2.58;-25.22;0.2792;0.3844;0.5422
5PB;4;8;41.22;3.81;-33.74;0.2172;0.3856;0.5974
5PB;4;10;41.22;5.29;-41.46;0.1265;0.3862;0.6481
7.5PB;4;2;41.22;2.92;-8.97;0.3697;0.3776;0.438
7.5PB;4;4;41.22;5.83;-17.07;0.3569;0.3739;0.49
7.5PB;4;6;41.22;8.99;-24.97;0.3411;0.3698;0.5411
7.5PB;4;8;41.22;12.71;-32.99;0.3239;0.3646;0.5932
7.5PB;4;10;41.22;16.63;-40.75;0.3036;0.3587;0.6442
7.5PB;4;12;41.22;20.92;-48.14;0.2826;0.3518;0.6931
7.5PB;4;14;41.22;25.94;-55.35;0.2654;0.3425;0.7413
7.5PB;4;16;41.22;32.09;-62.92;0.2526;0.3295;0.7924
7.5PB;4;18;41.22;38.72;-70.23;0.244;0.3136;0.8422
7.5PB;4;20;41.22;46.6;-78.24;0.2389;0.2919;0.8973
7.5PB;4;22;41.22;52.51;-83.71;0.2416;0.2729;0.9352
7.5PB;4;24;41.22;59.48;-89.97;0.2461;0.247;0.9789
7.5PB;4;26;41.22;66.79;-96.31;0.253;0.2141;1
10PB;4;2;41.22;4.82;-8.88;0.384;0.3733;0.4376
10PB;4;4;41.22;9.25;-16.37;0.3862;0.3656;0.4859
10PB;4;6;41.22;14.03;-23.88;0.3882;0.3568;0.5345
10PB;4;8;41.22;19.07;-31.04;0.3908;0.3468;0.5811
10PB;4;10;41.22;24.38;-38.09;0.3934;0.3354;0.6274
10PB;4;12;41.22;30.16;-44.98;0.3987;0.3217;0.673
10PB;4;14;41.22;36.14;-51.68;0.4047;0.306;0.7176
10PB;4;16;41.22;42.64;-57.74;0.4173;0.2863;0.7584
10PB;4;18;41.22;49;-63.84;0.4281;0.2643;0.7997
10PB;4;20;41.22;56.55;-70.52;0.4427;0.2335;0.8453
10PB;4;22;41.22;62.27;-75.32;0.455;0.2052;0.8783
10PB;4;24;41.22;68.86;-80.78;0.4692;0.1641;0.916
10PB;4;26;41.22;76.61;-86.92;0.4872;0.0892;0.9588
2.5P;4;2;41.22;6.16;-8.38;0.3956;0.37;0.4346
2.5P;4;4;41.22;11.89;-15.39;0.4093;0.3588;0.4799
2.5P;4;6;41.22;17.37;-21.77;0.4221;0.3471;0.5212
2.5P;4;8;41.22;23.34;-28.07;0.4374;0.3329;0.5623
2.5P;4;10;41.22;29.55;-34.14;0.4538;0.3166;0.6021
2.5P;4;12;41.22;36.3;-40.34;0.4718;0.2968;0.6431
2.5P;4;14;41.22;42.79;-46.06;0.4892;0.2751;0.6811
2.5P;4;16;41.22;49.68;-51.82;0.5085;0.248;0.7196
2.5P;4;18;41.22;56.78;-57.53;0.5287;0.2143;0.7581
2.5P;4;20;41.22;64.17;-63.37;0.5491;0.1693;0.7977
2.5P;4;22;41.22;70.05;-67.85;0.566;0.1184;0.8282
5P;4;2;41.22;7.35;-7.49;0.4068;0.367;0.4291
5P;4;4;41.22;13.78;-13.75;0.4287;0.3532;0.4696
5P;4;6;41.22;19.91;-19.43;0.4493;0.3388;0.5065
5P;4;8;41.22;26.28;-24.99;0.4706;0.3221;0.5427
5P;4;10;41.22;33.18;-30.58;0.4937;0.3019;0.5794
5P;4;12;41.22;39.92;-35.89;0.5162;0.2792;0.6145
5P;4;14;41.22;47.09;-41.29;0.5403;0.2509;0.6502
5P;4;16;41.22;54.78;-46.9;0.566;0.2138;0.6876
5P;4;18;41.22;61.6;-51.84;0.5884;0.1713;0.7207
5P;4;20;41.22;69.03;-57.03;0.6128;0.1024;0.7557
7.5P;4;2;41.22;8.27;-6.17;0.4177;0.3643;0.4208
7.5P;4;4;41.22;15.46;-11.38;0.4483;0.3478;0.4548
7.5P;4;6;41.22;22.52;-16.27;0.4772;0.3298;0.4866
7.5P;4;8;41.22;29.55;-21.13;0.5054;0.3093;0.5183
7.5P;4;10;41.22;36.57;-25.82;0.5328;0.286;0.5492
7.5P;4;12;41.22;43.7;-30.54;0.56;0.2585;0.5802
7.5P;4;14;41.22;51.42;-35.51;0.5892;0.2222;0.6131
7.5P;4;16;41.22;59.21;-40.34;0.6184;0.1745;0.6452
7.5P;4;18;41.22;66.79;-45.15;0.6461;0.1038;0.6773
10P;4;2;41.22;8.92;-4.69;0.4264;0.3624;0.4114
10P;4;4;41.22;16.88;-8.88;0.4651;0.3431;0.439
10P;4;6;41.22;24.56;-12.94;0.5004;0.3219;0.4657
10P;4;8;41.22;32.15;-16.95;0.534;0.298;0.492
10P;4;10;41.22;39.45;-20.81;0.5654;0.2711;0.5175
10P;4;12;41.22;47.04;-24.78;0.5975;0.2377;0.5436
10P;4;14;41.22;54.73;-28.81;0.6292;0.1948;0.5703
10P;4;16;41.22;61.96;-32.54;0.6588;0.1384;0.595
2.5RP;4;2;41.22;9.31;-3.08;0.4339;0.3609;0.4013
2.5RP;4;4;41.22;17.67;-5.88;0.4784;0.3398;0.4202
2.5RP;4;6;41.22;26.22;-8.86;0.5214;0.315;0.44
2.5RP;4;8;41.22;34.37;-11.71;0.5609;0.2871;0.4591
2.5RP;4;10;41.22;41.87;-14.44;0.5958;0.2567;0.4773
2.5RP;4;12;41.22;49.93;-17.41;0.6327;0.2159;0.4971
2.5RP;4;14;41.22;57.56;-20.24;0.6666;0.1645;0.5161
2.5RP;4;16;41.22;65.18;-23.14;0.7;0.0796;0.5353
5RP;4;2;41.22;9.7;-1.16;0.4417;0.3594;0.3892
5RP;4;4;41.22;18.4;-2.35;0.4919;0.3366;0.3979
5RP;4;6;41.22;27.36;-3.64;0.5405;0.3091;0.4073
5RP;4;8;41.22;35.98;-5.07;0.5849;0.2776;0.4175
5RP;4;10;41.22;43.25;-6.44;0.6209;0.2456;0.4272
5RP;4;12;41.22;51.94;-8.15;0.6627;0.1967;0.4391
5RP;4;14;41.22;59.75;-9.79;0.6995;0.1326;0.4507
7.5RP;4;2;41.22;9.83;0.4;0.4467;0.3586;0.3793
7.5RP;4;4;41.22;18.64;0.68;0.5005;0.3349;0.3788
7.5RP;4;6;41.22;27.59;0.83;0.5512;0.3067;0.3793
7.5RP;4;8;41.22;36.41;0.68;0.5983;0.2735;0.3815
7.5RP;4;10;41.22;44.21;0.4;0.6382;0.2374;0.3845
7.5RP;4;12;41.22;52.7;-0.11;0.6802;0.1863;0.3892
7.5RP;4;14;41.22;60.88;-0.66;0.7199;0.1096;0.3941
10RP;5;2;51.58;8.14;1.69;0.5434;0.4626;0.4712
10RP;5;4;51.58;17.12;3.63;0.6059;0.4383;0.4597
10RP;5;6;51.58;26.07;5.41;0.6631;0.4109;0.4495
10RP;5;8;51.58;35.02;7.07;0.7169;0.3793;0.4401
10RP;5;10;51.58;43.28;8.42;0.7641;0.3453;0.4329
10RP;5;12;51.58;52.56;9.75;0.8151;0.2988;0.4261
10RP;5;14;51.58;59.92;10.65;0.8542;0.2526;0.4218
10RP;5;16;51.58;68.76;11.65;0.9001;0.1751;0.4175
2.5R;5;2;51.58;8.1;2.61;0.5459;0.4624;0.4651
2.5R;5;4;51.58;17.12;5.74;0.6105;0.4378;0.4457
2.5R;5;6;51.58;25.9;8.91;0.669;0.4104;0.4264
2.5R;5;8;51.58;34.54;11.92;0.7224;0.3796;0.4082
2.5R;5;10;51.58;43.13;14.7;0.7726;0.3438;0.3919
2.5R;5;12;51.58;52.12;17.45;0.8231;0.2982;0.376
2.5R;5;14;51.58;59.47;19.62;0.8628;0.2515;0.3638
2.5R;5;16;51.58;68.1;21.91;0.9081;0.1752;0.3514
5R;5;2;51.58;8;3.74;0.5481;0.4624;0.4576
5R;5;4;51.58;16.99;8.36;0.6156;0.4374;0.4285
5R;5;6;51.58;25.44;12.94;0.6735;0.4108;0.3997
5R;5;8;51.58;33.82;17.5;0.7269;0.3807;0.3714
5R;5;10;51.58;42.25;22.11;0.7777;0.3454;0.3429
5R;5;12;51.58;50.86;26.55;0.8266;0.3022;0.3158
5R;5;14;51.58;58.15;30.46;0.8667;0.2568;0.2922
5R;5;16;51.58;66.62;34.83;0.9117;0.1848;0.2662
5R;5;18;51.58;74.98;39.3;0.9551;0.0331;0.24
7.5R;5;2;51.58;7.81;4.94;0.5501;0.4625;0.4496
7.5R;5;4;51.58;16.45;10.84;0.6175;0.4382;0.4119
7.5R;5;6;51.58;24.5;16.86;0.6749;0.4127;0.3735
7.5R;5;8;51.58;32.61;23.24;0.7283;0.3836;0.3328
7.5R;5;10;51.58;40.64;29.44;0.7774;0.3506;0.2934
7.5R;5;12;51.58;48.7;35.79;0.8241;0.3112;0.2528
7.5R;5;14;51.58;55.87;42.01;0.8642;0.2685;0.2119
7.5R;5;16;51.58;63.57;48.9;0.9056;0.2091;0.1648
7.5R;5;18;51.58;70.69;55.26;0.9424;0.1252;0.1179
10R;5;2;51.58;7.48;6.5;0.5518;0.4629;0.4393
10R;5;4;51.58;15.23;14.11;0.6165;0.4408;0.3901
10R;5;6;51.58;22.83;22.04;0.6733;0.4168;0.3386
10R;5;8;51.58;30.28;30.25;0.7242;0.3904;0.2847
10R;5;10;51.58;37.48;39.08;0.7699;0.3617;0.2248
10R;5;12;51.58;44.26;48.5;0.8107;0.3307;0.1554
10R;5;14;51.58;49.95;57.38;0.8433;0.3008;0.0722
2.5YR;5;2;51.58;6.86;8.29;0.5523;0.4639;0.4274
2.5YR;5;4;51.58;13.59;16.86;0.6119;0.4446;0.3714
2.5YR;5;6;51.58;20.31;26.27;0.6651;0.4236;0.3092
2.5YR;5;8;51.58;26.83;36.31;0.7119;0.4012;0.2409
2.5YR;5;10;51.58;32.57;46.56;0.7503;0.3795;0.1645
2.5YR;5;12;51.58;37.01;57.19;0.7789;0.3611;0.0569
5YR;5;2;51.58;5.85;9.83;0.5494;0.466;0.4168
5YR;5;4;51.58;11.29;20.08;0.6039;0.4501;0.3492
5YR;5;6;51.58;16.94;31.08;0.6525;0.4325;0.275
5YR;5;8;51.58;22.05;42.26;0.6921;0.4155;0.1943
5YR;5;10;51.58;26.32;53.05;0.7222;0.4006;0.0986
7.5YR;5;2;51.58;4.69;11.06;0.5447;0.4685;0.4085
7.5YR;5;4;51.58;9.09;22.6;0.5953;0.4551;0.3317
7.5YR;5;6;51.58;13.55;34.86;0.6381;0.4413;0.2469
7.5YR;5;8;51.58;17.21;46.98;0.6699;0.4294;0.1526
10YR;5;2;51.58;2.88;12.63;0.5368;0.4724;0.3978
10YR;5;4;51.58;5.9;25.42;0.5806;0.4626;0.3115
10YR;5;6;51.58;8.95;38.81;0.6164;0.4529;0.2157
10YR;5;8;51.58;11.43;51.41;0.6417;0.445;0.1046
2.5Y;5;2;51.58;1;13.68;0.5269;0.4764;0.3903
2.5Y;5;4;51.58;2.34;27.54;0.5624;0.4707;0.296
2.5Y;5;6;51.58;4.01;41.93;0.5913;0.4647;0.1892
2.5Y;5;8;51.58;5.42;54.84;0.6108;0.4599;0.0517
5Y;5;2;51.58;-1.31;14.35;0.5133;0.4814;0.3855
5Y;5;4;51.58;-1.46;29.02;0.5412;0.4791;0.2848
5Y;5;6;51.58;-0.95;43.98;0.5643;0.4759;0.1701
7.5Y;5;2;51.58;-2.63;14.42;0.5043;0.4844;0.3848
7.5Y;5;4;51.58;-4.58;29.44;0.5223;0.4857;0.281
7.5Y;5;6;51.58;-5.78;44.85;0.5361;0.4863;0.1602
10Y;5;2;51.58;-4.17;14.03;0.4927;0.4878;0.3872
10Y;5;4;51.58;-7.61;28.99;0.5016;0.4922;0.2834
10Y;5;6;51.58;-10.12;44.15;0.508;0.4953;0.1647
2.5GY;5;2;51.58;-5.83;12.96;0.4783;0.4915;0.394
2.5GY;5;4;51.58;-10.87;26.75;0.4753;0.4991;0.2986
2.5GY;5;6;51.58;-15.1;41.29;0.4713;0.5053;0.1873
5GY;5;2;51.58;-7.03;11.75;0.4665;0.4942;0.402
5GY;5;4;51.58;-13.5;24;0.4509;0.5046;0.3174
5GY;5;6;51.58;-19.7;37.13;0.4323;0.5142;0.2198
5GY;5;8;51.58;-24.93;50.52;0.4147;0.5219;0.0895
7.5GY;5;2;51.58;-8.62;9.54;0.4482;0.4979;0.4166
7.5GY;5;4;51.58;-16.79;19.38;0.4141;0.5116;0.3488
7.5GY;5;6;51.58;-25.05;30.04;0.3759;0.5243;0.2719
7.5GY;5;8;51.58;-32.64;40.81;0.3353;0.5352;0.1858
7.5GY;5;10;51.58;-40.04;52.83;0.2894;0.5451;0.0381
10GY;5;2;51.58;-9.53;7.6;0.4347;0.5002;0.4295
10GY;5;4;51.58;-18.83;15.25;0.3847;0.5161;0.3766
10GY;5;6;51.58;-28.08;23.4;0.3292;0.5303;0.3189
10GY;5;8;51.58;-37.57;31.76;0.259;0.5436;0.2564
10GY;5;10;51.58;-46.96;40.22;0.1609;0.5555;0.1865
2.5G;5;2;51.58;-10.28;5.41;0.4213;0.5022;0.4439
2.5G;5;4;51.58;-20.39;10.49;0.3533;0.5198;0.4086
2.5G;5;6;51.58;-30.56;15.47;0.2698;0.5356;0.3733
2.5G;5;8;51.58;-41.39;20.32;0.1321;0.5506;0.3383
5G;5;2;51.58;-10.44;3.74;0.4137;0.503;0.4551
5G;5;4;51.58;-20.97;7.26;0.3339;0.5215;0.4302
5G;5;6;51.58;-31.25;10.31;0.2309;0.5377;0.4083
7.5G;5;2;51.58;-10.5;2.61;0.4091;0.5033;0.4627
7.5G;5;4;51.58;-20.97;4.88;0.3221;0.5221;0.4462
7.5G;5;6;51.58;-31.19;6.71;0.2056;0.5383;0.4326
10G;5;2;51.58;-10.34;1.27;0.405;0.5033;0.4716
10G;5;4;51.58;-20.8;2.37;0.3111;0.5223;0.463
10G;5;6;51.58;-30.62;3.21;0.1839;0.5382;0.4563
2.5BG;5;2;51.58;-10.17;0.09;0.4016;0.5033;0.4794
2.5BG;5;4;51.58;-20.27;0.04;0.3037;0.522;0.4786
2.5BG;5;6;51.58;-29.75;-0.24;0.1632;0.5377;0.4795
5BG;5;2;51.58;-9.69;-1.62;0.3982;0.5029;0.4909
5BG;5;4;51.58;-19.24;-3.28;0.2949;0.5211;0.5008
5BG;5;6;51.58;-28.2;-4.93;0.1349;0.5365;0.511
7.5BG;5;2;51.58;-9.21;-3.01;0.3962;0.5023;0.5002
7.5BG;5;4;51.58;-17.98;-5.79;0.2932;0.5195;0.5178
7.5BG;5;6;51.58;-26.8;-8.74;0.1071;0.5353;0.5366
10BG;5;2;51.58;-8.25;-4.29;0.3988;0.5008;0.5089
10BG;5;4;51.58;-16.05;-8.66;0.2957;0.5169;0.537
10BG;5;6;51.58;-24.03;-13.26;0.1006;0.5321;0.5671
2.5B;5;2;51.58;-7.19;-5.26;0.4036;0.4989;0.5154
2.5B;5;4;51.58;-14.16;-10.85;0.3027;0.5141;0.5519
2.5B;5;6;51.58;-20.97;-16.58;0.1248;0.5281;0.5896
5B;5;2;51.58;-5.88;-6.14;0.411;0.4965;0.5214
5B;5;4;51.58;-11.74;-12.64;0.3181;0.5101;0.5641
5B;5;6;51.58;-16.79;-19.61;0.1764;0.5217;0.6102
7.5B;5;2;51.58;-4.58;-6.8;0.4193;0.494;0.5259
7.5B;5;4;51.58;-8.73;-14.22;0.3404;0.5048;0.5749
7.5B;5;6;51.58;-12.34;-21.64;0.2319;0.5143;0.6242
10B;5;2;51.58;-2.88;-7.42;0.4308;0.4906;0.5303
10B;5;4;51.58;-5.67;-15.15;0.3661;0.4989;0.5814
10B;5;6;51.58;-7.88;-22.91;0.2836;0.5062;0.6331
10B;5;8;51.58;-10.07;-30.78;0.1377;0.5135;0.6858
2.5PB;5;2;51.58;-1.21;-7.74;0.4431;0.4871;0.5325
2.5PB;5;4;51.58;-2.37;-15.6;0.3948;0.4923;0.5847
2.5PB;5;6;51.58;-2.93;-23.97;0.3351;0.4965;0.6406
2.5PB;5;8;51.58;-3.29;-31.98;0.2552;0.5006;0.6944
2.5PB;5;10;51.58;-3.29;-40.08;0.1114;0.5043;0.7493
5PB;5;2;51.58;0.6;-7.84;0.4571;0.4831;0.5335
5PB;5;4;51.58;1.1;-15.86;0.4244;0.4848;0.5868
5PB;5;6;51.58;1.89;-24.31;0.3835;0.4862;0.6434
5PB;5;8;51.58;2.68;-32.3;0.332;0.4879;0.6971
5PB;5;10;51.58;3.86;-40.36;0.264;0.4891;0.7517
5PB;5;12;51.58;5.12;-48.45;0.1489;0.4906;0.807
7.5PB;5;2;51.58;2.34;-7.86;0.4704;0.4793;0.5337
7.5PB;5;4;51.58;4.64;-15.67;0.4552;0.4766;0.5859
7.5PB;5;6;51.58;7.76;-24.15;0.4387;0.4726;0.6428
7.5PB;5;8;51.58;11.15;-31.93;0.4228;0.4678;0.6953
7.5PB;5;10;51.58;14.28;-39.24;0.4025;0.4635;0.745
7.5PB;5;12;51.58;18.5;-47.39;0.3805;0.457;0.8008
7.5PB;5;14;51.58;22.87;-55.4;0.354;0.45;0.8559
7.5PB;5;16;51.58;27.75;-63.2;0.3271;0.4415;0.9102
7.5PB;5;18;51.58;33.98;-71.53;0.3039;0.4289;0.9686
7.5PB;5;20;51.58;40.52;-79.54;0.2817;0.4143;1
10PB;5;2;51.58;3.81;-7.52;0.4828;0.4758;0.5317
10PB;5;4;51.58;7.81;-15.07;0.4831;0.4688;0.5822
10PB;5;6;51.58;12.72;-23.14;0.4847;0.4599;0.6365
10PB;5;8;51.58;17.17;-30.27;0.4846;0.4514;0.6847
10PB;5;10;51.58;22.14;-37.11;0.4881;0.441;0.7312
10PB;5;12;51.58;27.46;-44.26;0.4903;0.4294;0.7802
10PB;5;14;51.58;33.17;-51.44;0.4932;0.4159;0.8296
10PB;5;16;51.58;39.16;-58.51;0.4972;0.4006;0.8786
10PB;5;18;51.58;44.83;-64.42;0.5052;0.3842;0.9199
10PB;5;20;51.58;51.44;-71.11;0.5141;0.3634;0.9669
10PB;5;22;51.58;58.71;-77.67;0.5288;0.3368;1
2.5P;5;2;51.58;4.93;-6.93;0.4933;0.473;0.5279
2.5P;5;4;51.58;10.22;-14.11;0.5052;0.4626;0.5761
2.5P;5;6;51.58;15.82;-21.07;0.5179;0.4509;0.6231
2.5P;5;8;51.58;21.92;-27.88;0.5333;0.437;0.6691
2.5P;5;10;51.58;27.5;-33.82;0.5476;0.4232;0.7095
2.5P;5;12;51.58;33.9;-40.05;0.5651;0.4059;0.7522
2.5P;5;14;51.58;40.13;-45.85;0.5824;0.3874;0.792
2.5P;5;16;51.58;46.63;-51.72;0.6005;0.3659;0.8326
2.5P;5;18;51.58;52.88;-57.19;0.6177;0.343;0.8706
2.5P;5;20;51.58;59.99;-63.18;0.6377;0.3132;0.9124
2.5P;5;22;51.58;67.21;-69.18;0.6578;0.2773;0.9547
2.5P;5;24;51.58;74.44;-74.95;0.6784;0.2329;0.9955
2.5P;5;26;51.58;81.86;-80.57;0.7005;0.171;1
5P;5;2;51.58;5.85;-6.09;0.5031;0.4705;0.5225
5P;5;4;51.58;12.03;-12.41;0.5249;0.4573;0.565
5P;5;6;51.58;18.55;-18.64;0.5475;0.4424;0.6071
5P;5;8;51.58;25.18;-24.64;0.5707;0.4256;0.6479
5P;5;10;51.58;31.35;-30.02;0.5919;0.4087;0.6845
5P;5;12;51.58;38.3;-35.84;0.6158;0.3875;0.7242
5P;5;14;51.58;44.6;-40.93;0.6375;0.3661;0.759
5P;5;16;51.58;51.55;-46.35;0.6611;0.3396;0.7965
5P;5;18;51.58;58.36;-51.51;0.6844;0.3096;0.8322
5P;5;20;51.58;65.28;-56.64;0.708;0.2736;0.8679
5P;5;22;51.58;72.72;-61.95;0.7337;0.2251;0.9051
5P;5;24;51.58;80.3;-67.31;0.7593;0.156;0.9428
5P;5;26;51.58;87.4;-72.23;0.7836;0.0036;0.9776
7.5P;5;2;51.58;6.67;-4.76;0.5136;0.4681;0.5137
7.5P;5;4;51.58;13.96;-9.94;0.5468;0.4515;0.549
7.5P;5;6;51.58;21.27;-15.15;0.5789;0.4331;0.5843
7.5P;5;8;51.58;28.79;-20.3;0.611;0.4122;0.6193
7.5P;5;10;51.58;35.34;-24.74;0.6383;0.392;0.6496
7.5P;5;12;51.58;42.67;-29.68;0.6682;0.3666;0.6833
7.5P;5;14;51.58;49.76;-34.17;0.6973;0.3384;0.7141
7.5P;5;16;51.58;56.82;-38.73;0.7252;0.3061;0.7456
7.5P;5;18;51.58;64.38;-43.56;0.7549;0.2643;0.7789
7.5P;5;20;51.58;71.59;-48.16;0.7825;0.2137;0.8108
7.5P;5;22;51.58;79.77;-53.1;0.8145;0.1259;0.8452
10P;5;2;51.58;7.19;-3.66;0.521;0.4665;0.5065
10P;5;4;51.58;15.01;-7.51;0.5621;0.4477;0.5329
10P;5;6;51.58;23.22;-11.6;0.603;0.4259;0.5611
10P;5;8;51.58;31.35;-15.77;0.6419;0.4016;0.5896
10P;5;10;51.58;38.42;-19.43;0.6748;0.3776;0.6147
10P;5;12;51.58;46.29;-23.49;0.7103;0.3473;0.6425
10P;5;14;51.58;53.6;-27.18;0.743;0.3142;0.6679
10P;5;16;51.58;61.02;-30.93;0.7755;0.2742;0.6938
10P;5;18;51.58;68.63;-34.82;0.8083;0.2219;0.7206
10P;5;20;51.58;76.5;-38.73;0.8421;0.1423;0.7476
2.5RP;5;2;51.58;7.72;-2.34;0.5287;0.4648;0.4978
2.5RP;5;4;51.58;15.95;-4.91;0.5759;0.4444;0.516
2.5RP;5;6;51.58;24.59;-7.7;0.6231;0.4201;0.5354
2.5RP;5;8;51.58;33.5;-10.62;0.6695;0.3917;0.5559
2.5RP;5;10;51.58;40.79;-13.14;0.7063;0.365;0.5735
2.5RP;5;12;51.58;49.1;-16.03;0.747;0.3297;0.5936
