h;V;C;L*;a*;b*;R;G;B
2.5P;1;4;10.63;15.16;-16.11;0.1481;0.0838;0.199
2.5P;1;6;10.63;21.63;-21.7;0.1638;0.0652;0.2294
2.5P;1;8;10.63;28.79;-27.17;0.181;0.0355;0.2599
5P;1;2;10.63;9.92;-9.13;0.1429;0.0946;0.1613
5P;1;4;10.63;16.9;-14.66;0.1627;0.0777;0.1912
5P;1;6;10.63;23.66;-19.61;0.1814;0.0556;0.2182
5P;1;8;10.63;30.63;-24.63;0.2011;0.0168;0.246
7.5P;1;2;10.63;10.73;-8.37;0.1491;0.0924;0.1575
7.5P;1;4;10.63;17.87;-13.47;0.1716;0.0737;0.1849
7.5P;1;6;10.63;24.76;-17.99;0.1923;0.0487;0.2098
10P;1;2;10.63;11.54;-7.51;0.1548;0.0904;0.1529
10P;1;4;10.63;18.83;-12.09;0.1792;0.0704;0.1778
10P;1;6;10.63;25.84;-16.46;0.2019;0.0418;0.2016
2.5RP;1;2;10.63;11.8;-6.46;0.1599;0.0888;0.1474
2.5RP;1;4;10.63;19.54;-10.65;0.187;0.0665;0.1701
2.5RP;1;6;10.63;26.7;-14.48;0.211;0.0346;0.1912
5RP;1;2;10.63;12.33;-4.94;0.1651;0.0873;0.1397
5RP;1;4;10.63;20.25;-8.45;0.1952;0.0626;0.1587
5RP;1;6;10.63;27.54;-11.76;0.2212;0.0258;0.1769
7.5RP;1;2;10.63;12.59;-3.68;0.1691;0.0862;0.1329
7.5RP;1;4;10.63;20.71;-6.3;0.2015;0.0598;0.1476
7.5RP;1;6;10.63;28.38;-8.98;0.2299;0.0169;0.1622
10RP;2;2;20.56;10.63;-0.09;0.255;0.1707;0.1957
10RP;2;4;20.56;19.2;-0.54;0.2973;0.1466;0.1994
10RP;2;6;20.56;27.39;-1.15;0.3351;0.116;0.2038
10RP;2;8;20.56;36.39;-2.07;0.3745;0.0635;0.2105
2.5R;2;2;20.56;10.48;1.36;0.2573;0.1706;0.1873
2.5R;2;4;20.56;19.2;2.2;0.3022;0.1456;0.1839
2.5R;2;6;20.56;27.52;2.76;0.3415;0.1138;0.182
2.5R;2;8;20.56;36.85;3.13;0.3831;0.0565;0.1817
5R;2;2;20.56;10.33;2.88;0.259;0.1708;0.1789
5R;2;4;20.56;18.93;5.09;0.3053;0.1457;0.1677
5R;2;6;20.56;27.27;7.11;0.3455;0.1138;0.1579
5R;2;8;20.56;36.62;9.21;0.3887;0.0543;0.1479
7.5R;2;2;20.56;10.03;4.16;0.2595;0.1714;0.1717
7.5R;2;4;20.56;18.52;7.99;0.3069;0.1466;0.1513
7.5R;2;6;20.56;26.39;11.66;0.3467;0.1161;0.1323
7.5R;2;8;20.56;35.14;15.44;0.3876;0.0642;0.1131
10R;2;2;20.56;9.27;5.7;0.2586;0.1728;0.1628
10R;2;4;20.56;17.56;11.23;0.3064;0.1489;0.1329
10R;2;6;20.56;25.13;16.56;0.3457;0.1202;0.1037
