SERIE,FECHA,X,Y,HOJA_IGM,UBICACION,PERFIL_NRO,GRAN_GRUPO SUBGRUPO
La Otomana,01/01/1900,-59.39027778,-38.60777778,3960-11-3 Energia,6.4 Km. al SSW de la localidad de Energia,25/1264-C,Hapludol Tapto argico
La Paulina,01/01/1900,-60.24166667,-35.97333333,"3560-33-4, Ea. El Chiripa",20.6 Km. al WNW de la localidad de Gral.Belgrano,3/1716-C,Natracualf Tipico
La Ponderosa,01/01/1900,-59.17444444,-38.43500000,3960-11-2 Semillero Buck,10 Km. al SSE del Cruce a Ramon Santamarina y N. Olivera,25/1271-C,Hapludol Litico
La Reforma,01/01/1900,-58.67444444,-38.20777778,3960-6-4 Tamangueyu,5 Km. al E de la localidad de Tamangueyu,23/280-C,Argiudol Acuico
La Retranca,01/01/1900,-61.11666667,-38.45000000,3960-7-2 La Aurora,1 Km. al E del casco de la Ea. Santa Rosa,25/10-C,Paleudol Petrocalcico
La Saturna,01/01/1900,-57.63555556,-35.18333333,3557-20-2 Magdalena,12.7 Km. al WSW de la localidad de Magdalena,9/2318-C,Natracualf Tipico
La Sofia,01/01/1900,-61.41111111,-33.97777778,3360-31-3 Merceditas,"9 Km al WSW de la antigua Estacion Merceditas, del F.C.G.U.",6/1074-C,Argiudol Acuico
La Tigra,01/01/1900,-60.95000000,-37.36666667,3760-26-1 Ea. La Tigra,"24.3 Km. al NW de la localidad de Laprida, Ea. El Recuerdo",80-C,Natrudol Tipico
Ea.La Victoria,01/01/1900,-57.41861111,-36.41888889,3757-9-1 Estancia La Victoria,12 Km. al E.de la localidad de Gral. Conesa,16/386-C,Natracuerts Tipico
La Zoraida,01/01/1900,-61.46666667,-33.90833333,3360-31-3 Estacion Merceditas,"9 Km. al SE de Estacion Santa Emilia, F.C.G.B.M",6/1073-C,Natralbol Tipico
Labordeboy,01/01/1900,-61.36111111,-33.77222222,3360-33-1 Hughes,4 Km. al NW de la localidad Hughes,11/1152-C,Argiudol Tipico
Laboulage,01/01/1900,-63.41666667,-34.21666667,"3563-10, Canada Seca",18.2 Km. al NE de la localidad de Villa Rossi,FALTA,Haplustol Udortentico
Laguna Blanca,01/01/1900,-57.24305556,-37.54500000,3757-27-3 Laguna Mar Chiquita,6 Km. al NE de  Estancia Romano,8/1696-C,Natracuol Tipico
Laguna Puan,01/01/1900,-62.96833333,-37.62333333,"3763-28-3, Puan",18.7 Km. al WSW de La localidad de Puan,23/1328-C,Haplustol Tipico
Laprida,01/01/1900,-60.80000000,-37.58333333,3760-26-3 Laprida,4.5 Km. al SSW de la localidad de Laprida Ea. Los Pirineos,2-C,Argiudol Tipico
