SERIE,FECHA,X,Y,HOJA_IGM,UBICACION,PERFIL_NRO,GRAN_GRUPO SUBGRUPO
Santa Isabel,01/01/1900,-61.60555556,-33.96305556,3363-36-4 Santa Isabel,5 Km. al Norte de la localidad de Villa Canas,6-602-C,Hapludol Tipico
Santa Lucia,01/01/1900,-60.85000000,-33.26944444,"3360-20-3, Acebal",3 Km. al SSW de la localidad de Cebal,Rp. 1/806-C,Natracuol Tipico
Santa Luisa,01/01/1900,-60.31666667,-37.18333333,3760-21-3 El Luchador,10.1 Km. al SE  de  Estacion Santa Luisa,7-2199-C,Argiudol Abruptico
Santa Paula,01/01/1900,-60.42055556,-36.16250000,"3760-3-1, Ea. La Francia",38.2 Km. al WSW de Gral. Alvear (Ea. La Francia).,19/5-C,Natrudol Petrocalcico
Santa Regina,01/01/1900,-63.19555556,-34.48194444,3563-9 Melo,7 Km. al N de la localidad de Sta. Regina. (Ea.Sta. Catalina).,26-C,Hapludol Tapto Natrico
Santa Rita,01/01/1900,-60.11388889,-35.82416667,"3560-33-2, Mamaguita",18 Km. al SE de la localidad de Mamaguita,3/1441-C,Natracuol Tipico
Santa Teresita,01/01/1900,-56.82861111,-36.54027778,3757-10-3 Santa Teresita,20 Km. al S de la localidad de Gral. Lavalle Ea. Los Linoles,16-394-C,Hapludol Tapto Argico
Estacion Santo Domingo,01/01/1900,-57.18444444,-36.95861111,3757-15-4 General Madariaga.,"6 Km. al NW de la localidad de Gral. Madariaga, Ea. El Destino.",12/3360-C,Natralbol Tipico
Segui,01/01/1900,-60.43527778,-34.90833333,3560-15-3 Coronel Mon,5 Km. al SW de la localidad de Cnel. Segui.  8/1054,8/1054-C,Hapludol Tipico
Semillero Buck,01/01/1900,-59.48777778,-38.35444444,"3960-11-2, Semillero Buck",13.4 Km. al NNE de la localidad de Ramon Santamarina,25/1268-C,Argiudol Tipico
Sierra De Los Padres,01/01/1900,-57.92916667,-37.94583333,3757-32-3 Sierra De Los Padres,6.7 Km. al S del Pje. El Dorado,5-1006-C,Hapludol Litico
Solis,01/01/1900,-59.12111111,-34.24638889,"3560-5-4, Capilla del Senor",6 Km. al NNW de la localidad de Capilla del Senor,Rp. 8/147-C,Argiudol Vertico
Sierra.Chica,01/01/1900,-60.20277778,-36.83888889,3760-15-4 Sierra Chica,4 Km. al SSW de Estacion Tte. Cnel. Minana,7/1412-C,Natrudol Petrocalcico
Suipacha,15/09/1966,-59.69638889,-34.67416667,3560-10-4 Franklin,5.3 Km. al SSW de Estacion Franklin (F.C.G.S.M.).,12/778-C,Argialbol Tipico
Tamangueyu,01/01/1900,-58.59777778,-38.32055556,3960-6-4 Tamangueyu,10 Km. al E de la localidad de Pieres,23/273-C,Natracuol Tipico
Tambo Nuevo,01/01/1900,-60.55416667,-33.95138889,3360-32-4 Pergamino,Campo Experimental del INTA (Seccion Suelos),6/1035-C,Argialbol Argiacuico
Tandil,01/01/1900,-59.47250000,-37.28333333,3760-23-3 Gardey,10 Km. al Este de la localidad de Gardey Estancia El Perdido,12/2427-C,Argiudol Tipico
Tandileufu,01/01/1900,-58.87777778,-37.15416667,3760-24-1 Estancia La Barrancosa,Estancia Santa Marta.,12/2963-C,Natralbol Tipico
Ea.Tarrhue,01/01/1900,-57.34083333,-35.53250000,3757-27-3 Laguna Mar Chiquita,4 Km. al NW de Estancia Tarruhe,8/1699-C,Argialbol Argiacuico
Tatay,01/01/1900,-59.61666667,-34.45277778,3560-10-2 Salto,"4.5 Km. al Sudeste de Estacion Heavy, F.C.G.U",Rp.12/301-C,Natracuol Tipico
Tecua,01/01/1900,-60.56666667,-37.38333333,3760-26-2 Voluntad,28 Km. al NE de la localidad de Laprida. Ea. La Gauchita,60-C,Natralbol Tipico
Teodelina,01/01/1900,-61.24722222,-34.22222222,3560-1-4 Ascension,"1 Km. al NO de Estacion Ham, F.C.G.S.M",Rp. 8/750-C,Hapludol Tipico
Tomas Jofre,01/01/1900,-59.37777778,-34.78611111,3560-17-1 Tomas Jofre,11 Km. al NE de Estacion Tomas Jofre,2/478-C,Argiacuol Tipico
Tres Arroyos,01/01/1900,-60.46472222,-38.34444444,3960-9-1 Tres Arroyos,13 Km. al NW de la localidad deTres Arroyos,25/1953-C,Paleudol Petrocalcico
Tres Esquinas,01/01/1900,-59.97138889,-37.19361111,3760-22-3 Chillar,13 Km. al N  Estacion Chillar (Ea. Manantiales).,2/1544-C,Argiudol Tipico
Tres Lomas,01/01/1900,-63.38722222,-37.24333333,"3763-21-3, Rolon",13 Km. al WSW de la localidad de Rivera,93-C,Haplustol Litico
Tronconi,01/01/1900,-58.89250000,-35.82750000,"3560-36-1, Gorchs",17.7 Km. al SSE de Estacion Gorchs,3/1993-C,Duracuol Natrico
Tuyuti,01/01/1900,-59.17027778,-36.30861111,3760-5-4 Arroyo Gualicho,32 Km. al S de la localidad de Las Flores,14/2641-C,Natracualf Tipico
Udaondo,01/01/1900,-58.98333333,-35.25000000,3560-24-3 Abbott,20 Km. al NNW de la localidad de Abbott,14/1828-C,Hapludol Tapto Argico
Uriburu,01/01/1900,-63.70805556,-36.51138889,"3763-8, Lonquimay.Pcia.La Pampa (Limite)",Limite con La Pampa,,Haplustol Entico
Urquiza,01/01/1900,-60.33611111,-33.89861111,3360-33-3 Juan Anchorena,5 Km. al NE de la localidad de Juan Anchorena (Est. Urquiza),5/219-C,Paleudol Tipico
Valeria Del Mar,01/01/1900,-57.29138889,-37.60333333,3757-27-3 Laguna Mar Chiquita,8.2 Km. al W Cruce Ruta 11 y Canal 7.,8/1690-C,Hapludol Acuico
Vedia,01/01/1900,-61.41194444,-34.91750000,3560-13-3 Bayauca,10.5 Km. al SW de Estacion Bayauca,2703-C,Natracualf Tipico
Veinticinco De Mayo,01/01/1900,-60.53500000,-37.53527778,3560-26-4 Dudignac,"3,25 Km. al NE de Estacion Morea",23/185-C,Udipsament Tipico
Venado Tuerto,01/01/1900,-61.86666667,-33.73888889,3363-36-1 Venado Tuerto,9 Km. al ENE de la localidad de Venado Tuerto,6/749-C,Hapludol Tipico
Veronica,01/01/1900,-57.34638889,-35.30166667,3557-21-3 ??lvarez Jonte,15 Km. al NW de la localidad de Veronica,3/1268-C,Hapludert Tipico
Vichahuel,01/01/1900,-58.73611111,-36.27111111,3760-6-4 Casalins,"17,2 Km. al WNW de Estacion Casalins",1/2614-C,Natracuol Tipico
Videla Dorna,01/01/1900,-58.52194444,-35.60361111,3560-30-4 Ea. La Benquerencia,10 Km. al ESE de Estancia La Benquerencia,13/2302-C,Argialbol Argiacuico
Vieytes,01/01/1900,-57.35138889,-35.30055556,3557-21-3 ??lvarez Jonte,"9,8 Km. al ENE de Estacion Alvarez Jonte",3/1267-C,Natracuert Tipico
Villa,01/01/1900,-59.25722222,-38.42555556,3960-11-1 Ramon Santamarina,7 Km. al ENE de Estacion  R. Santamarina,25/1269-C,Hapludol Cumulico
Villa Canas,01/01/1900,-61.66583333,-33.96916667,3563-6-2 Villa Canas,7 Km. al NW de la localidad de Villa Canas,Rp. 11-828-C,Hapludol Cumulico
Villa Gesell,01/01/1900,-57.26416667,-37.61555556,3757-27-3 Lag. Mar Chiquita,2 Km. al SE de Estancia Romano,8/1692-C,Udipsament Acuico
Villa Moll,01/01/1900,-59.72444444,-35.14083333,3560-22-2 Villa Moll,3.4 Km. al ESE Estacion Moquehua FCGB Ea. Santa Maria,14/436-C,Natralbol Tipico
Villa Roch,01/01/1900,-57.03694444,-36.41861111,3757-9-1 Ea. La Victoria,10 Km. al SE de la localidad de Gral. Conesa (Ea. La Esperanza),16/383-C,Hapludol Fluventico
Villa Rossi,01/01/1900,-63.26666667,-34.30000000,"3563-10, Canada Seca",41.2 Km. al ESE de la localidad de Melo,,Natracualf Tipico
Villada,22/08/1967,-61.05555556,-33.42777778,3360-25-2 Bigand,10 Km. al SE de la localidad de Bigand,9-952-C,Natracuol Tipico
Wheelwright,01/01/1900,-61.26250000,-33.68333333,3360-31-1 Weelwrghit,12 Km. al NNW de Estacion Wheelwright,11-1147-C,Natralbol Tipico
Zapiola,01/01/1900,-59.77722222,-34.83083333,3560-16-4 Juan J. Almeyra,9.6 Km. al SW de Estacion Suipacha.,14/360-C,Natracualf Tipico
Zavalla,01/01/1900,-60.82833333,-32.95416667,3360-14-3.,7.5 Km. al SW de la localidad Dean Funes,4/705-C,Natracualf Tipico
